"filename", "language", "C++", "Markdown", "Ignore", "YAML", "JSON", "Dart", "Properties", "Swift", "XML", "HTML", "comment", "blank", "total"
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\document_screen\widgets\class_notice_widget.dart", "Dart", 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 18, 20, 288
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\document_screen\widgets\substitution_plan_grid.dart", "Dart", 0, 0, 0, 0, 0, 431, 0, 0, 0, 0, 11, 38, 480
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\document_screen\widgets\substitution_plan_grid_helpers.dart", "Dart", 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 29, 31, 368
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\document_screen\widgets\teacher_notice_widget.dart", "Dart", 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 18, 20, 288
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen.dart", "Dart", 0, 0, 0, 0, 0, 924, 0, 0, 0, 0, 229, 253, 1406
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\exchange_screen_state_proxy.dart", "Dart", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 22, 37, 147
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\exchange_screen_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 27, 35, 244
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\helpers\cell_tap_helper.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 7, 8, 72
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\helpers\grid_helper.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 5, 49
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\managers\exchange_operation_manager.dart", "Dart", 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 96, 67, 421
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\managers\exchange_path_manager.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 16, 24, 157
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\widgets\exchange_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 13, 28, 260
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\exchange_screen\widgets\timetable_tab_content.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 6, 7, 90
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\handlers\exchange_file_handler.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 10, 17, 124
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\handlers\exchange_mode_handler.dart", "Dart", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 37, 34, 198
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\handlers\exchange_path_handler.dart", "Dart", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 14, 29, 158
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\handlers\exchange_ui_builder.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 4, 6, 83
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\handlers\filter_search_handler.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 14, 17, 101
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\handlers\path_selection_handler_mixin.dart", "Dart", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 23, 20, 162
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\handlers\target_cell_handler.dart", "Dart", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 30, 31, 137
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\helpers\chain_path_finder.dart", "Dart", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 10, 14, 116
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\helpers\circular_path_finder.dart", "Dart", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 23, 27, 151
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 26, 29, 345
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\personal_schedule_screen.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 4, 40
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 4, 40
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\state_managers\filter_state_manager.dart", "Dart", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 33, 28, 185
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\state_managers\path_selection_manager.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 20, 17, 123
